Date,^OEX
2018-01-02,1193.550048828125
2018-01-03,1200.739990234375
2018-01-04,1206.260009765625
2018-01-05,1215.56005859375
2018-01-08,1216.0999755859375
2018-01-09,1218.1199951171875
2018-01-10,1217.949951171875
2018-01-11,1225.8199462890625
2018-01-12,1234.550048828125
2018-01-16,1231.7900390625
2018-01-17,1243.3800048828125
2018-01-18,1241.5899658203125
2018-01-19,1245.699951171875
2018-01-22,1256.7099609375
2018-01-23,1257.47998046875
2018-01-24,1256.5400390625
2018-01-25,1258.0400390625
2018-01-26,1273.989990234375
2018-01-29,1265.56005859375
2018-01-30,1251.9300537109375
2018-01-31,1251.4200439453125
2018-02-01,1252.1500244140625
2018-02-02,1224.68994140625
2018-02-05,1171.8499755859375
2018-02-06,1194.489990234375
2018-02-07,1187.56005859375
2018-02-08,1142.280029296875
2018-02-09,1159.199951171875
2018-02-12,1175.780029296875
2018-02-13,1178.9300537109375
2018-02-14,1193.239990234375
2018-02-15,1208.43994140625
2018-02-16,1208.8800048828125
2018-02-20,1200.7099609375
2018-02-21,1194.3800048828125
2018-02-22,1196.3699951171875
2018-02-23,1215.3499755859375
2018-02-26,1232.489990234375
2018-02-27,1216.31005859375
2018-02-28,1201.8699951171875
2018-03-01,1184.5400390625
2018-03-02,1189.0400390625
2018-03-05,1201.8900146484375
2018-03-06,1202.5400390625
2018-03-07,1201.8599853515625
2018-03-08,1207.8800048828125
2018-03-09,1228.969970703125
2018-03-12,1227.6099853515625
2018-03-13,1218.31005859375
2018-03-14,1211.02001953125
2018-03-15,1210.77001953125
2018-03-16,1211.4000244140625
2018-03-19,1192.1099853515625
2018-03-20,1192.4300537109375
2018-03-21,1189.530029296875
2018-03-22,1157.9100341796875
2018-03-23,1133.010009765625
2018-03-26,1164.969970703125
2018-03-27,1143.739990234375
2018-03-28,1141.5
2018-03-29,1157.3699951171875
2018-04-02,1131.6500244140625
2018-04-03,1146.260009765625
2018-04-04,1159.760009765625
2018-04-05,1169.1700439453125
2018-04-06,1143.780029296875
2018-04-09,1148.030029296875
2018-04-10,1168.1400146484375
2018-04-11,1160.5799560546875
2018-04-12,1170.7900390625
2018-04-13,1167.5
2018-04-16,1175.8299560546875
2018-04-17,1188.3900146484375
2018-04-18,1187.260009765625
2018-04-19,1181.8900146484375
2018-04-20,1170.449951171875
2018-04-23,1170.4300537109375
2018-04-24,1153.8399658203125
2018-04-25,1155.3800048828125
2018-04-26,1169.1700439453125
2018-04-27,1169.9000244140625
2018-04-30,1160.72998046875
2018-05-01,1164.4000244140625
2018-05-02,1156.6400146484375
2018-05-03,1153.9300537109375
2018-05-04,1169.6400146484375
2018-05-07,1174.260009765625
2018-05-08,1173.77001953125
2018-05-09,1185.68994140625
2018-05-10,1197.1600341796875
2018-05-11,1200.1300048828125
2018-05-14,1202.06005859375
2018-05-15,1192.81005859375
2018-05-16,1197.260009765625
2018-05-17,1194.5799560546875
