Date,AAPL,ABBV,ABT,ACN,ADBE,AMAT,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,FDX,GD,GE,GEV,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MDLZ,MDT,META,MMM,MO,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PLTR,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TMO,TMUS,TSLA,TXN,UBER,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2018-01-02,40.26707458496094,68.77313232421875,50.50607681274414,135.55824279785156,177.6999969482422,48.3742561340332,10.979999542236328,137.775146484375,113.83444213867188,59.45050048828125,21.0866641998291,88.29243469238281,282.88641357421875,24.637493133544922,42.794742584228516,70.080810546875,414.357177734375,45.08622360229492,,56.313209533691406,131.29388427734375,61.35475158691406,30.82061004638672,86.40505981445312,42.04248046875,168.25405883789062,102.8992691040039,30.269535064697266,56.00663375854492,89.45236206054688,139.83767700195312,78.78563690185547,106.22452545166016,59.49821472167969,58.1816520690918,223.66307067871094,165.74351501464844,81.05406951904297,,54.544036865234375,36.64651870727539,52.81637954711914,53.22063446044922,213.14425659179688,153.79287719726562,117.08696746826172,102.65723419189453,39.330379486083984,149.4026641845703,125.08333587646484,110.7641830444336,85.9012680053711,35.25035858154297,137.27236938476562,75.02671813964844,255.92567443847656,78.32247924804688,16.87125015258789,144.80931091308594,142.7815399169922,34.69893264770508,66.03368377685547,180.0074005126953,148.22242736816406,38.34283447265625,41.59348678588867,40.621421813964844,78.870361328125,42.590789794921875,31.5635929107666,20.10700035095215,56.92669677734375,26.34600067138672,4.9282684326171875,41.10762405395508,91.602783203125,23.44344139099121,72.28070831298828,,68.16304016113281,52.61402893066406,66.64507293701172,48.090309143066406,45.83592224121094,33.68927001953125,110.56610870361328,15.921095848083496,188.7553253173828,61.5733528137207,21.368667602539062,83.38343048095703,,193.09046936035156,113.27181243896484,89.8410873413086,39.01633834838867,107.88825225830078,33.712955474853516,48.37674331665039,28.800233840942383,58.58042907714844
2018-01-03,40.26007080078125,69.849365234375,50.617759704589844,136.18385314941406,181.0399932861328,49.23157501220703,11.550000190734863,140.3749542236328,114.27809143066406,60.209999084472656,21.3172607421875,88.8367691040039,283.8012390136719,24.55509376525879,43.05714416503906,71.62828826904297,418.7290344238281,45.122989654541016,,56.48738098144531,131.49453735351562,61.11793518066406,30.325319290161133,86.25760650634766,42.817665100097656,170.27320861816406,103.76653289794922,30.51100730895996,55.762847900390625,90.10443878173828,140.47488403320312,79.83392333984375,106.68059539794922,59.31234359741211,58.71624755859375,226.45895385742188,166.77682495117188,81.82041931152344,,54.95623016357422,37.540767669677734,53.68326187133789,54.128623962402344,211.1601104736328,154.594482421875,116.11954498291016,105.4791030883789,37.99557113647461,149.81683349609375,127.94000244140625,111.8222427368164,85.9887924194336,35.17294692993164,138.4236297607422,75.43428039550781,258.0709228515625,78.66443634033203,17.158260345458984,146.63003540039062,142.17982482910156,34.838035583496094,67.40721893310547,183.23208618164062,148.2161407470703,38.20192337036133,41.53431701660156,40.73039627075195,79.23743438720703,43.8684196472168,30.894023895263672,20.5049991607666,56.91773986816406,26.582000732421875,5.252614498138428,42.05971908569336,91.3622817993164,23.617145538330078,72.1929931640625,,68.078125,53.21119689941406,67.62269592285156,48.99152755737305,45.90720748901367,33.496437072753906,110.05313873291016,15.553433418273926,192.21786499023438,61.159915924072266,21.149999618530273,85.64240264892578,,195.11599731445312,113.9058837890625,91.83161163330078,39.399070739746094,108.96233367919922,33.02017593383789,48.74892807006836,29.05146026611328,59.7309455871582
2018-01-04,40.44707107543945,69.4510498046875,50.53184509277344,137.79638671875,183.22000122070312,49.51430130004883,12.119999885559082,139.78343200683594,112.60841369628906,60.47949981689453,21.32437515258789,90.31440734863281,282.7243957519531,24.87645721435547,43.486515045166016,70.96430206298828,424.2568054199219,45.70775604248047,,57.184120178222656,133.3004150390625,61.50989532470703,30.520423889160156,87.97512817382812,43.311649322509766,168.95091247558594,105.13642120361328,30.597332000732422,57.233116149902344,89.82398223876953,141.28024291992188,80.21748352050781,106.6330795288086,58.84767532348633,58.79848861694336,229.9840545654297,169.6454620361328,83.53346252441406,,54.396820068359375,38.69801712036133,53.877662658691406,54.338890075683594,214.11129760742188,155.8213348388672,117.68868255615234,107.61544799804688,37.298805236816406,152.49954223632812,125.63999938964844,111.81430053710938,87.22063446044922,35.66834259033203,140.59449768066406,75.7709732055664,262.497802734375,79.2799301147461,17.236698150634766,148.52696228027344,143.1772003173828,34.919857025146484,67.56784057617188,182.8947296142578,150.15350341796875,38.050140380859375,42.207557678222656,41.35306930541992,79.9348373413086,45.721466064453125,30.73527717590332,20.562999725341797,56.88187789916992,26.770000457763672,5.280303001403809,42.474056243896484,91.81230163574219,23.668611526489258,72.70331573486328,,67.56230163574219,53.28380584716797,67.83589172363281,49.17511749267578,46.165618896484375,33.35358428955078,106.83399963378906,15.698019981384277,194.6240234375,60.573402404785156,20.974666595458984,85.53179931640625,,195.962890625,113.28853607177734,92.42729187011719,39.702369689941406,109.3674545288086,33.12724304199219,49.35869216918945,29.07775115966797,59.813629150390625
2018-01-05,40.90757751464844,70.66001892089844,50.677913665771484,138.93307495117188,185.33999633789062,49.79702377319336,11.880000114440918,140.61627197265625,113.33435821533203,61.457000732421875,21.450725555419922,90.52037048339844,294.32232666015625,24.99181365966797,43.59784698486328,71.60395050048828,427.8714294433594,45.81137466430664,,57.1083869934082,135.40728759765625,61.583377838134766,30.79808235168457,87.98381042480469,43.228065490722656,167.74484252929688,106.53588104248047,31.02109146118164,59.762245178222656,89.67674255371094,141.8820343017578,80.7203369140625,106.05351257324219,58.5760383605957,59.571624755859375,230.8870391845703,169.22384643554688,83.57855224609375,,54.853179931640625,38.58405303955078,54.662723541259766,55.05943298339844,213.0192108154297,157.44898986816406,118.51139068603516,108.14118957519531,37.559043884277344,154.47628784179688,126.336669921875,112.7371597290039,86.66072082519531,35.66059494018555,141.824951171875,76.70126342773438,264.8759460449219,80.98967742919922,17.505882263183594,151.60598754882812,143.46571350097656,35.36984634399414,68.70845031738281,185.39512634277344,151.323486328125,38.1585578918457,42.163169860839844,41.33749771118164,80.92584228515625,44.66814422607422,30.87569236755371,20.999000549316406,57.366058349609375,27.00200080871582,5.32504940032959,42.72972106933594,92.07608795166016,23.71364402770996,72.75113677978516,,68.10426330566406,53.63887023925781,68.4183120727539,49.742549896240234,46.343807220458984,33.410728454589844,107.82793426513672,15.755854606628418,197.9593963623047,62.111778259277344,21.10533332824707,86.18736267089844,,199.69972229003906,114.73173522949219,92.71060943603516,39.94789505004883,111.98670959472656,33.051666259765625,49.6912841796875,29.250106811523438,59.76538848876953
2018-01-08,40.7556266784668,69.52791595458984,50.53184509277344,140.04335021972656,185.0399932861328,51.00092697143555,12.279999732971191,140.577392578125,114.54422760009766,62.34349822998047,21.502059936523438,89.68753051757812,295.57073974609375,24.81877899169922,43.78071975708008,72.71401977539062,431.06268310546875,45.82617950439453,,56.44194030761719,138.8100128173828,61.673194885253906,30.377845764160156,87.43733215332031,43.668846130371094,168.39697265625,107.2848892211914,31.34283447265625,59.24423599243164,90.11846160888672,142.58114624023438,81.1805648803711,104.5333023071289,58.761905670166016,59.3824577331543,233.26608276367188,169.22384643554688,82.40645599365234,,54.76484680175781,38.76815414428711,54.896305084228516,55.253822326660156,209.92625427246094,157.07275390625,117.87154388427734,108.79341888427734,37.559043884277344,154.5703582763672,130.6199951171875,112.88034057617188,86.78870391845703,35.60641860961914,141.77212524414062,76.31138610839844,263.65478515625,80.10913848876953,17.637800216674805,152.06430053710938,143.36679077148438,35.189849853515625,68.6843490600586,186.81398010253906,150.83285522460938,38.109764099121094,41.91901397705078,41.16626739501953,81.0084228515625,44.42432403564453,31.130115509033203,21.204999923706055,57.877132415771484,27.059999465942383,5.488211631774902,43.17931365966797,91.5484848022461,23.44987678527832,73.13390350341797,,67.99978637695312,53.47747802734375,69.06832122802734,49.492218017578125,46.548763275146484,33.710697174072266,108.5333480834961,15.80129623413086,198.28213500976562,62.592525482177734,22.42733383178711,86.59806823730469,,196.23355102539062,116.32511901855469,93.83663177490234,40.00566482543945,112.43893432617188,32.99498748779297,49.12904739379883,29.68244171142578,60.03408432006836
2018-01-09,40.75095748901367,70.05201721191406,50.617759704589844,140.51031494140625,186.6999969482422,50.03416061401367,11.819999694824219,142.7412872314453,113.76991271972656,62.6349983215332,21.20433235168457,90.01887512207031,303.4615173339844,24.942373275756836,44.17830276489258,73.24332427978516,434.6856384277344,45.781768798828125,,57.03265380859375,139.14447021484375,61.76300048828125,30.47539710998535,88.20933532714844,44.02603530883789,166.44032287597656,107.57069396972656,31.146652221679688,59.18326950073242,89.63468170166016,146.55477905273438,84.04424285888672,104.45729064941406,58.07560729980469,59.48117446899414,232.47592163085938,170.1993408203125,83.668701171875,,57.48836135864258,38.619110107421875,54.86258316040039,55.18341827392578,211.70199584960938,157.93972778320312,118.83893585205078,109.03299713134766,36.61881637573242,155.54220581054688,132.53334045410156,114.67032623291016,87.22864532470703,35.784446716308594,143.1520538330078,76.24939727783203,265.5428161621094,80.82722473144531,17.610172271728516,152.28390502929688,143.0453338623047,35.17348098754883,68.98150634765625,186.40716552734375,151.7700958251953,37.70866775512695,42.02260208129883,41.485389709472656,80.95337677001953,41.90808868408203,30.90216827392578,20.930999755859375,57.46466064453125,27.09000015258789,5.486730098724365,43.418251037597656,91.6183090209961,23.42413902282715,72.59963989257812,,68.48951721191406,52.67052459716797,69.82232666015625,49.38373565673828,47.5289306640625,33.28931427001953,106.1478271484375,15.760102272033691,201.58815002441406,63.073272705078125,22.246000289916992,87.1904525756836,,197.21136474609375,117.62652587890625,93.79302978515625,40.280059814453125,112.22222900390625,32.873966217041016,49.303260803222656,29.32605743408203,59.7791748046875
2018-01-10,40.74159622192383,69.66767120361328,50.54044723510742,140.0169219970703,187.11000061035156,48.61138153076172,11.960000038146973,142.33653259277344,110.99523162841797,62.71649932861328,20.756553649902344,90.6457290649414,305.20550537109375,25.173095703125,45.56184768676758,73.54254150390625,432.7560729980469,45.90019226074219,,57.29012680053711,138.67626953125,61.09345626831055,30.835622787475586,89.46712493896484,43.8132438659668,165.66299438476562,107.22575378417969,31.31929588317871,58.992862701416016,90.20960235595703,145.9706573486328,83.7289047241211,104.01072692871094,57.26784133911133,59.703216552734375,232.70172119140625,169.26519775390625,85.33665466308594,,57.9373779296875,37.69857406616211,54.68157196044922,55.05199432373047,212.02711486816406,156.87643432617188,119.66162872314453,109.26593017578125,35.6785774230957,154.2778778076172,141.25332641601562,114.53508758544922,88.18854522705078,35.66059494018555,142.9235382080078,76.28485107421875,265.9766845703125,80.50238800048828,17.083391189575195,152.6276092529297,143.02059936523438,34.878944396972656,68.66826629638672,186.37741088867188,151.6820831298828,38.09893798828125,42.39251708984375,41.97572326660156,80.5863265991211,42.239688873291016,30.647764205932617,21.25200080871582,57.58124542236328,27.246000289916992,5.529743671417236,43.18816375732422,91.15277862548828,23.46274185180664,72.13719940185547,,68.97270965576172,52.6624641418457,70.14994812011719,49.91777801513672,47.72496795654297,32.8250846862793,105.7951431274414,15.394370079040527,201.7739715576172,61.42913055419922,22.31999969482422,86.64547729492188,,195.74464416503906,116.54200744628906,94.28701782226562,40.58335876464844,112.09976196289062,32.92491912841797,49.984275817871094,29.115720748901367,59.30380630493164
2018-01-11,40.97303009033203,69.87178039550781,50.885738372802734,140.2019805908203,188.9199981689453,48.520179748535156,12.140000343322754,141.635986328125,108.86579895019531,63.83399963378906,20.809463500976562,90.20691680908203,312.696044921875,25.26373291015625,45.983280181884766,74.33531951904297,437.9256896972656,46.240692138671875,,57.22197723388672,141.46034240722656,60.87297058105469,31.968782424926758,90.57743835449219,44.97602081298828,169.2010955810547,107.52140808105469,31.46839714050293,60.19646072387695,92.95111083984375,148.2008819580078,84.02720642089844,105.45492553710938,56.67448043823242,60.76419448852539,235.46279907226562,169.8934783935547,85.74239349365234,,58.19501876831055,38.74185562133789,54.82588577270508,55.14670944213867,212.69406127929688,159.23204040527344,120.29386138916016,109.27926635742188,36.442527770996094,153.7967071533203,140.4566650390625,115.18743896484375,88.66047668457031,35.63737869262695,143.96939086914062,76.54177856445312,266.0409851074219,81.84453582763672,16.85698699951172,153.6396942138672,142.9216766357422,34.780757904052734,68.8610610961914,186.30796813964844,152.41798400878906,38.09893798828125,42.614471435546875,42.18589401245117,80.8249282836914,41.761802673339844,30.629451751708984,21.724000930786133,57.64401626586914,27.516000747680664,5.539632320404053,43.32091522216797,90.68724822998047,23.52064323425293,71.88202667236328,,68.46994018554688,52.79962158203125,70.19676208496094,50.067989349365234,48.26850128173828,32.317989349365234,105.69892883300781,15.335515022277832,204.09210205078125,61.38105392456055,22.530000686645508,87.41161346435547,,196.7836151123047,117.08428192138672,96.95315551757812,40.92997360229492,112.9100341796875,33.19244384765625,49.897178649902344,29.217966079711914,59.8894157409668
2018-01-12,41.3961296081543,70.62491607666016,50.7907600402832,141.08314514160156,195.0500030517578,48.74818801879883,12.020000457763672,144.033447265625,107.27687072753906,65.26000213623047,20.871854782104492,90.42186737060547,320.40570068359375,25.700454711914062,46.452415466308594,75.3680419921875,452.2622375488281,46.492374420166016,,58.19132995605469,142.3799591064453,60.93012237548828,31.84870719909668,91.45355987548828,45.63721466064453,171.39894104003906,108.6449203491211,32.072662353515625,60.01363754272461,93.67327880859375,149.82920837402344,84.70901489257812,106.86111450195312,56.40283966064453,60.78886795043945,236.0358123779297,174.0930633544922,84.57030487060547,,58.16557312011719,38.63664245605469,55.65606689453125,56.069091796875,214.2779998779297,160.65524291992188,121.16989135742188,108.57376861572266,36.29981231689453,155.221435546875,139.67999267578125,115.9591064453125,90.12427520751953,35.7225227355957,144.2682342529297,77.06452941894531,270.1545104980469,86.2214126586914,16.8026180267334,154.98590087890625,143.07008361816406,34.74803161621094,68.6361312866211,177.97335815429688,153.77670288085938,37.73035430908203,43.398685455322266,42.90196990966797,82.21971893310547,41.752037048339844,30.592817306518555,22.12299919128418,57.984710693359375,27.63800048828125,5.512438774108887,43.81650161743164,91.07518005371094,23.507776260375977,71.45144653320312,,68.23485565185547,52.759281158447266,71.02357482910156,50.40177917480469,49.355594635009766,32.02516555786133,106.13499450683594,15.51207160949707,205.56906127929688,61.22722244262695,22.4146671295166,89.03081512451172,,199.62106323242188,117.768310546875,97.4107894897461,41.14661407470703,113.14556884765625,33.033203125,49.53289794921875,29.466262817382812,60.29586410522461
2018-01-16,41.18574523925781,72.13821411132812,50.44548034667969,139.18862915039062,192.4600067138672,49.70581817626953,11.90999984741211,144.42262268066406,109.39818572998047,65.24299621582031,20.789724349975586,89.85769653320312,319.4051208496094,25.74165153503418,45.752685546875,75.37078094482422,458.3435363769531,44.353172302246094,,58.39580154418945,141.5522918701172,61.583377838134766,31.383424758911133,90.57743835449219,44.71763229370117,171.12196350097656,107.314453125,31.813692092895508,60.516414642333984,92.55843353271484,148.2716827392578,84.7772216796875,105.16989135742188,56.05970764160156,59.90061569213867,234.06483459472656,170.57138061523438,82.09091186523438,,59.070953369140625,38.74185562133789,55.63127136230469,56.071563720703125,215.47015380859375,160.56527709960938,120.27099609375,109.04630279541016,36.21585464477539,153.12681579589844,140.02333068847656,116.83422088623047,89.80430603027344,36.01667022705078,142.46653747558594,75.5671615600586,265.2214050292969,86.31546020507812,16.970190048217773,154.9476776123047,143.16067504882812,35.17348098754883,68.53170776367188,177.00099182128906,153.94654846191406,37.356353759765625,45.92152786254883,42.497222900390625,81.07268524169922,41.85932540893555,30.63758659362793,22.152999877929688,56.86394119262695,27.95800018310547,5.441488742828369,43.88732147216797,91.44761657714844,23.546375274658203,71.93785858154297,,68.47643280029297,55.07525634765625,69.66633605957031,50.53529739379883,49.4803466796875,31.896604537963867,105.83362579345703,15.436406135559082,203.4563446044922,60.5445671081543,22.67066764831543,89.18873596191406,,203.34043884277344,117.0509033203125,96.53181457519531,41.28380584716797,113.42821502685547,32.90581130981445,49.493324279785156,29.4136905670166,59.91696548461914
