Ações por Índice;;;
Dados de 5 a 8 de 2026;;;
Empresa;Sigla;Código;
KEPLER WEBER;ON   NM;KEPL3.SA;AGFS,GPTW,IBRA,IDIV,IDVR,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
KINGSOFT CHL;DRN;K2CG34.SA;BDRX
KLABIN S/A;UNT  N2;KLBN11.SA;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,IDVR,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,IVBX,MLCX
KRAFT HEINZ;DRN;KHCB34.SA;BDRX
LAVVI;ON   NM;LAVV3.SA;IBRA,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
LILLY;DRN;LILY34.SA;BDRX
LLOYDS BANKI;DRN;L1YG34.SA;BDRX
LOCALIZA;ON   NM;RENT3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
LOCALIZA;PN   NM;RENT4.SA;ITAG
LOG COM PROP;ON   NM;LOGG3.SA;IBRA,IDIV,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
LOG-IN;ON   NM;LOGN3.SA;IGCX,IGNM,ITAG
LOJAS RENNER;ON   NM;LREN3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
LOPES BRASIL;ON   NM;LPSB3.SA;IGCX,IGNM,ITAG
LUMEN TECH;DRN;L1MN34.SA;BDRX
LUPATECH;ON   NM;LUPA3.SA;IGCX,IGNM,ITAG
LWSA;ON   NM;LWSA3.SA;IBRA,ICO2,IGCT,IGCX,IGNM,ITAG,SMLL
M.DIASBRANCO;ON   NM;MDIA3.SA;AGFS,IBRA,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
MAGAZ LUIZA;ON   NM;MGLU3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
MARCOPOLO;ON   N2;POMO3.SA;IBRA,IDIV,IGCT,IGCX,ITAG,SMLL
MARCOPOLO;PN   N2;POMO4.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBSD,IBXL,IBXX,IDIV,IGCT,IGCX,INDX,ITAG,IVBX,SMLL
MARFRIG;ON   NM;MBRF3.SA;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX
MASTERCARD;DRN;MSCD34.SA;BDRX
MATER DEI;ON   NM;MATD3.SA;IGCX,IGNM,ITAG
MCDONALDS;DRN;MCDC34.SA;BDRX
MEDICAL P TR;DRN;M2PT34.SA;BDRX
MELIUZ;ON   NM;CASH3.SA;IBRA,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
MELNICK;ON   NM;MELK3.SA;IGCX,IGNM,ITAG
MERCADOLIBRE;DRN;MELI34.SA;BDRX,IBBC,IBBE,IBBR
MERCK;DRN;MRCK34.SA;BDRX
META PLAT;DRN;M1TA34.SA;BDRX
METAL LEVE;ON   NM;LEVE3.SA;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
MICRON TECHN;DRN;MUTC34.SA;BDRX
MICROSOFT;DRN;MSFT34.SA;BDRX
MILLS;ON   NM;MILS3.SA;AGFS,IBRA,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
MINERVA;ON   NM;BEEF3.SA;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,SMLL
MITRE REALTY;ON   NM;MTRE3.SA;IGCX,IGNM,ISEE,ITAG
MODERNA INC;DRN;M1RN34.SA;BDRX
MONSTER BEVE;DRN;M1NS34.SA;BDRX
MORGAN STAN;DRN;MSBR34.SA;BDRX
MOTIVA SA;ON   NM;MOTV3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
MOURA DUBEUX;ON   NM;MDNE3.SA;GPTW,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
MOVIDA;ON   NM;MOVI3.SA;IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
MRV;ON   NM;MRVE3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ISEE,ITAG,IVBX,SMLL
MULTILASER;ON   NM;MLAS3.SA;IGCX,IGNM,ITAG
MULTIPLAN;ON   N2;MULT3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IMOB,ITAG,IVBX,SMLL
NASDAQ INC;DRN;N1DA34.SA;BDRX
NATURA;ON   NM;NATU3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,SMLL
NEOGRID;ON   NM;NGRD3.SA;IGCX,IGNM,ITAG
NETFLIX;DRN;NFLX34.SA;BDRX
NEWMONT GOLD;DRN;N1EM34.SA;BDRX
NEXTERA ENER;DRN;NEXT34.SA;BDRX
NIKE;DRN;NIKE34.SA;BDRX
NOVO NORDISK;DRN;N1VO34.SA;BDRX
NU HOLDINGS;DRN;ROXO34.SA;BDRX,IBBC,IBBE,IBBR
NUTRIPLANT;ON;NUTR3.SA;ITAG
NVIDIA CORP;DRN;NVDC34.SA;BDRX
OCCIDENT PTR;DRN;OXYP34.SA;BDRX
OCEANPACT;ON   NM;OPCT3.SA;IGCX,IGNM,ISEE,ITAG
ONCOCLINICAS;ON   NM;ONCO3.SA;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
ORACLE;DRN;ORCL34.SA;BDRX
ORIZON;ON   NM;ORVR3.SA;IBRA,IBXX,IGCT,IGCX,IGNM,ITAG,SMLL,UTIL
OUROFINO S/A;ON   NM;OFSA3.SA;IGCX,IGNM,ITAG
PADTEC;ON   NM;PDTC3.SA;IGCX,IGNM,ITAG
PAGSEGURO;DRN;PAGS34.SA;BDRX,IBBC,IBBE,IBBR
PAGUE MENOS;ON   NM;PGMN3.SA;GPTW,IBRA,ICO2,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
PALANTIRTECH;DRN;P2LT34.SA;BDRX
PALOALTO NET;DRN;P2AN34.SA;BDRX
PAYPAL HOLD;DRN;PYPL34.SA;BDRX
PDD HOLDING;DRN;P1DD34.SA;BDRX
PDG REALT;ON   NM;PDGR3.SA;IGCX,IGNM,ITAG
PEPSICO INC;DRN;PEPB34.SA;BDRX
PETROBRAS;ON   N2;PETR3.SA;IBBC,IBBE,IBBR,IBEE,IBEW,IBOV,IBRA,IBXL,IBXX,IDIV,IDVR,IGCT,IGCX,ITAG,MLCX
PETROBRAS;PN   N2;PETR4.SA;IBBC,IBBE,IBBR,IBEE,IBEW,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,IDIV,IDVR,IGCT,IGCX,ITAG,MLCX
PETRORECSA;ON   NM;RECV3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,IDIV,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
PETZCOBASI;ON   NM;AUAU3.SA;IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
PFIZER;DRN;PFIZ34.SA;BDRX
PG;DRN;PGCO34.SA;BDRX
PINE;ON   N2;PINE3.SA;IGCX,ITAG
PINE;PN   N2;PINE4.SA;IBRA,IDIV,IFNC,IGCT,IGCX,ITAG
PLANOEPLANO;ON   NM;PLPL3.SA;IBRA,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
PORTO SEGURO;ON   NM;PSSA3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXX,ICO2,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
PORTOBELLO;ON   NM;PTBL3.SA;IGCX,IGNM,ISEE,ITAG
POSITIVO TEC;ON   NM;POSI3.SA;IBRA,IDVR,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
PRINER;ON   NM;PRNR3.SA;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
PRIO;ON   NM;PRIO3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,IDVR,IGCT,IGCX,IGNM,ITAG,MLCX
PROFARMA;ON   NM;PFRM3.SA;IGCX,IGNM,ITAG
PROLOGIS INC;DRN;P1LD34.SA;BDRX
QUALCOMM;DRN;QCOM34.SA;BDRX
QUALICORP;ON   NM;QUAL3.SA;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
QUERO-QUERO;ON   NM;LJQQ3.SA;IBRA,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
RAIADROGASIL;ON   NM;RADL3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
RANDON PART;ON   N1;RAPT3.SA;IGCX
RANDON PART;PN   N1;RAPT4.SA;AGFS,GPTW,IBRA,IBXX,IGCT,IGCX,INDX,ITAG,SMLL
RDVC CITY;ON   NM;CCTY3.SA;IGCX,IGNM,ITAG
REALTY INCOM;DRN;R1IN34.SA;BDRX
RECRUSUL;PN;RCSL4.SA;AGFS,IBRA,INDX,SMLL
REDE D OR;ON   NM;RDOR3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
RENOVA;ON   N2;RNEW3.SA;IGCX,ITAG
RENOVA;PN   N2;RNEW4.SA;IGCX,ITAG
RIACHUELO;ON   NM;RIAA3.SA;GPTW,IBRA,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
RIO TINTO;DRN;RIOT34.SA;BDRX
ROBLOX CORP;DRN;R2BL34.SA;BDRX
ROMI;ON   NM;ROMI3.SA;IGCX,IGNM,ITAG
RUMO S.A.;ON   NM;RAIL3.SA;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
SABESP;ON   NM;SBSP3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL
SALESFOR INC;DRN;SSFO34.SA;BDRX
SANEPAR;UNT  N2;SAPR11.SA;IBRA,IBXX,IDVR,IGCT,IGCX,ISEE,ITAG,SMLL,UTIL
SANTANDER;DRN;BCSA34.SA;BDRX
SANTANDER BR;UNT;SANB11.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICO2,IDVR,IFNC,ISEE,ITAG,IVBX,MLCX
SAO CARLOS;ON   NM;SCAR3.SA;IGCX,IGNM,ITAG
SAO MARTINHO;ON   NM;SMTO3.SA;AGFS,GPTW,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
SEA LTD;DRN;S2EA34.SA;BDRX
SER EDUCA;ON   NM;SEER3.SA;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
SERVICENOW;DRN;N1OW34.SA;BDRX
SHOPIFY INC;DRN;S2HO34.SA;BDRX
SIBANYE STIL;DRN;S1BS34.SA;BDRX
SID NACIONAL;ON;CSNA3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,IMAT,INDX,IVBX,SMLL
SIGMA LITHM;DRN;S2GM34.SA;BDRX
SIMON PROP;DRN;SIMN34.SA;BDRX
SIMPAR;ON   NM;SIMH3.SA;IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
SLC AGRICOLA;ON   NM;SLCE3.SA;AGFS,GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXX,ICON,IDIV,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
SMART FIT;ON   NM;SMFT3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
SNOWFLAKE;DRN;S2NW34.SA;BDRX
SOLAR TECH;DRN;S2ED34.SA;BDRX
SPOTIFY TECH;DRN;S1PO34.SA;BDRX
STAG INDUSTR;DRN;S2TA34.SA;BDRX
STONE CO;DRN;STOC34.SA;BDRX,IBBC,IBBE,IBBR
STRATEGY INC;DRN;M2ST34.SA;BDRX
SUZANO S.A.;ON   NM;SUZB3.SA;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,IDVR,IGCT,IGCX,IGNM,IMAT,INDX,ITAG,IVBX,MLCX
SYN PROP TEC;ON   NM;SYNE3.SA;GPTW,IBRA,IDIV,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
TAESA;UNT  N2;TAEE11.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXX,IDIV,IDVR,IEEX,IGCT,IGCX,ITAG,SMLL,UTIL
TAIWANSMFAC;DRN;TSMC34.SA;BDRX
TAKE-TWO INT;DRN;T1TW34.SA;BDRX
TAL EDUCATIO;DRN;T1AL34.SA;BDRX
TAURUS ARMAS;ON   N2;TASA3.SA;IGCX,ITAG
TAURUS ARMAS;PN   N2;TASA4.SA;IGCX,ITAG
TC;ON   NM;TRAD3.SA;IGCX,IGNM,ITAG
TECHNOS;ON   NM;TECN3.SA;IGCX,IGNM,ITAG
TECNISA;ON   NM;TCSA3.SA;IGCX,IGNM,ITAG
TEGMA;ON   NM;TGMA3.SA;GPTW,IBRA,IDIV,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
TELADOCHEALT;DRN;T2DH34.SA;BDRX
TELEF BRASIL;ON;VIVT3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,ISEE,IVBX,MLCX
TENDA;ON   NM;TEND3.SA;IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
TERRASANTAPA;ON   NM;LAND3.SA;IGCX,IGNM,ITAG
TESLA INC;DRN;TSLA34.SA;BDRX
THERMFISCHER;DRN;TMOS34.SA;BDRX
TIM;ON   NM;TIMS3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
TIME FOR FUN;ON   NM;SHOW3.SA;IGCX,IGNM,ITAG
TOTVS;ON   NM;TOTS3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
TOYOTAMO;DRN;TMCO34.SA;BDRX
TRACK FIELD;PN   N2;TFCO4.SA;IBRA,ICON,IDVR,IGCT,IGCX,INDX,ITAG,SMLL
TRADE DESK;DRN;T2TD34.SA;BDRX
TRANSOCEAN;DRN;RIGG34.SA;BDRX
TRISUL;ON   NM;TRIS3.SA;IGCX,IGNM,ITAG
TRIUNFO PART;ON   NM;TPIS3.SA;IGCX,IGNM,ITAG
TUPY;ON   NM;TUPY3.SA;AGFS,IBRA,IDVR,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
UBER TECH IN;DRN;U1BE34.SA;BDRX
ULTRAPAR;ON   NM;UGPA3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
UNICASA;ON   NM;UCAS3.SA;IGCX,IGNM,ITAG
UNIFIQUE;ON   NM;FIQE3.SA;IGCX,IGNM,ITAG
UNIPAR;PNB;UNIP6.SA;GPTW,IBRA,IDIV,IMAT,INDX,SMLL
UNITEDHEALTH;DRN;UNHH34.SA;BDRX
UNITY SOFTWR;DRN;U2ST34.SA;BDRX
UPSTART HOLD;DRN;U2PS34.SA;BDRX
USIMINAS;ON   N1;USIM3.SA;IGCX
USIMINAS;PNA  N1;USIM5.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,IGCT,IGCX,IMAT,INDX,ISEE,IVBX,SMLL
VALE;ON   NM;VALE3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IGCT,IGCX,IGNM,IMAT,ITAG,MLCX
VALID;ON   NM;VLID3.SA;IBRA,IDIV,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
VAMOS;ON   NM;VAMO3.SA;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
VERIZON;DRN;VERZ34.SA;BDRX
VESTE;ON   NM;VSTE3.SA;IGCX,IGNM,ITAG
VIBRA;ON   NM;VBBR3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
VISA INC;DRN;VISA34.SA;BDRX
VITRUEDUCA;ON   NM;VTRU3.SA;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
VITTIA;ON   NM;VITT3.SA;IGCX,IGNM,ITAG
VIVARA S.A.;ON   NM;VIVA3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,SMLL
VIVEO;ON   NM;VVEO3.SA;IGCX,IGNM,ITAG
VODAFONE GRO;DRN;V1OD34.SA;BDRX
VULCABRAS;ON   NM;VULC3.SA;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
WAL MART;DRN;WALM34.SA;BDRX
WALT DISNEY;DRN;DISB34.SA;BDRX
WDC NETWORKS;ON   NM;WDCN3.SA;IGCX,IGNM,ITAG
WEG;ON   NM;WEGE3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,MLCX
WELLS FARGO;DRN;WFCO34.SA;BDRX
WESTWING;ON   NM;WEST3.SA;IGCX,IGNM,ITAG
WIZ CO;ON   NM;WIZC3.SA;IGCX,IGNM,ITAG
XP INC;DR1;XPBR31.SA;IBBC,IBBE,IBBR
YDUQS PART;ON   NM;YDUQ3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
