Ações por Índice;;;
Dados de 5 a 8 de 2026;;;
Empresa;Sigla;Código;
BRADESPAR;ON   N1;BRAP3.SA;IGCX,ITAG
BRADESPAR;PN   N1;BRAP4.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXX,IDIV,IGCT,IGCX,IMAT,ITAG,SMLL
BRADSAUDE;ON   NM;SAUD3.SA;GPTW,IBRA,IBXX,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
BRASIL;ON   NM;BBAS3.SA;IBBC,IBBE,IBBR,IBEE,IBEW,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IDVR,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX
BRASILAGRO;ON   NM;AGRO3.SA;IGCX,IGNM,ITAG
BRASKEM;ON   N1;BRKM3.SA;IGCX,ITAG
BRASKEM;PNA  N1;BRKM5.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,SMLL
BRAVA;ON   NM;BRAV3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
BRISANET;ON   NM;BRST3.SA;IGCX,IGNM,ITAG
BRITISH AMER;DRN;B1TI34.SA;BDRX
BROADCOM INC;DRN;AVGO34.SA;BDRX
BTGP BANCO;UNT  N2;BPAC11.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,IDVR,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX
CAIXA SEGURI;ON   NM;CXSE3.SA;IBBC,IBBE,IBBR,IBEE,IBEW,IBLV,IBOV,IBRA,IBXX,ICO2,IDIV,IDVR,IFNC,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
CAMIL;ON   NM;CAML3.SA;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
CARTESIA FII;CI;CACR11.SA;IFIL,IFIX
CASAS BAHIA;ON   NM;BHIA3.SA;GPTW,IBRA,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
CATERPILLAR;DRN;CATP34.SA;BDRX
CBA;ON   NM;CBAV3.SA;IBRA,IBXX,IDVR,IGCT,IGCX,IGNM,IMAT,ISEE,ITAG,SMLL
CEA MODAS;ON   NM;CEAB3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
CEDRO;PN   N1;CEDO4.SA;IGCX,ITAG
CELESC;PN   N2;CLSC4.SA;IGCX,ITAG
CEMIG;ON   N1;CMIG3.SA;IGCX
CEMIG;PN   N1;CMIG4.SA;IBBC,IBBE,IBBR,IBEE,IBEW,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL
CHEVRON;DRN;CHVX34.SA;BDRX
CISCO;DRN;CSCO34.SA;BDRX
CITIGROUP;DRN;CTGP34.SA;BDRX
COCA COLA;DRN;COCA34.SA;BDRX
COELCE;PNA;COCE5.SA;IEEX
COGNA ON;ON   NM;COGN3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
COINBASEGLOB;DRN;C2OI34.SA;BDRX
COLGATE;DRN;COLG34.SA;BDRX
COPASA;ON   NM;CSMG3.SA;IBBC,IBBE,IBBR,IBEE,IBEW,IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL,UTIL
COPEL;ON   NM;CPLE3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL
COPHILLIPS;DRN;COPH34.SA;BDRX
COSAN;ON   NM;CSAN3.SA;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
COSTCO;DRN;COWC34.SA;BDRX
CPFL ENERGIA;ON   NM;CPFE3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL
CROWDSTRIKE;DRN;C2RW34.SA;BDRX
CRUZEIRO EDU;ON   NM;CSED3.SA;IGCX,IGNM,ITAG
CSNMINERACAO;ON   N2;CMIN3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBSD,IBXX,IDIV,IGCT,IGCX,IMAT,ITAG,MLCX
CSU DIGITAL;ON   NM;CSUD3.SA;IGCX,IGNM,ITAG
CURY S/A;ON   NM;CURY3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBSD,IBXX,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,IVBX,SMLL
CVC BRASIL;ON   NM;CVCB3.SA;GPTW,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
CYRELA REALT;ON   NM;CYRE3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ISEE,ITAG,IVBX,SMLL
CYRELA REALT;PN   NM;CYRE4.SA;ITAG
D1000VFARMA;ON   NM;DMVF3.SA;IGCX,IGNM,ITAG
DASA;ON   NM;DASA3.SA;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
DEERE CO;DRN;DEEC34.SA;BDRX
DELL TECHNOL;DRN;D1EL34.SA;BDRX
DESKTOP;ON   NM;DESK3.SA;GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
DEXCO;ON   NM;DXCO3.SA;AGFS,IBRA,ICO2,IDVR,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,SMLL
DEXXOS PAR;ON   N1;DEXP3.SA;IGCX
DEXXOS PAR;PN   N1;DEXP4.SA;IGCX
DIAGEO PL;DRN;DEOP34.SA;BDRX
DIMED;ON   NM;PNVL3.SA;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
DIRECIONAL;ON   NM;DIRR3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBSD,IBXX,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,IVBX,SMLL
DOTZ SA;ON   NM;DOTZ3.SA;IGCX,IGNM,ITAG
ECOPETROL SA;DRN;E1CO34.SA;BDRX
ECORODOVIAS;ON   NM;ECOR3.SA;IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
EMBRAER;ON   NM;EMBJ3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ITAG,MLCX
ENERGISA;UNT  N2;ENGI11.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IEEX,IGCT,IGCX,ITAG,IVBX,MLCX,UTIL
ENEVA;ON   NM;ENEV3.SA;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL
ENGIE BRASIL;ON   NM;EGIE3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL
ENJOEI;ON   NM;ENJU3.SA;IGCX,IGNM,ITAG
EQUATORIAL;ON   NM;EQTL3.SA;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL
EQUINIX INC;DRN;EQIX34.SA;BDRX
EQUINOR ASA;DRN;E1QN34.SA;BDRX
ESPACOLASER;ON   NM;ESPA3.SA;IGCX,IGNM,ITAG
ESTAPAR;ON   NM;ALPK3.SA;IGCX,IGNM,ITAG
ETERNIT;ON   NM;ETER3.SA;IGCX,IGNM,ITAG
EUCATEX;ON   N1;EUCA3.SA;IGCX
EUCATEX;PN   N1;EUCA4.SA;IGCX
